X,Y,FID,Date,Sample_ID,Parameter,Results,Units,CAS,HRV,Units1,HRV_Types,Name,Description,Address,City_1,State,Zip
-93.23913021,44.9555969520001,1,Nov13,0005Nov13,"1,2,4-Trimethylbenzene",1.4,ug/m3,95-63-6,125000,ug/m3,REL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406
-93.23913021,44.9555969520001,2,Nov13,0005Nov13,2-Propanol,87.6,ug/m3,67-63-0,980000,ug/m3,REL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406
-93.23913021,44.9555969520001,3,Nov13,0005Nov13,Acetone,8.4,ug/m3,67-64-1,590000,ug/m3,REL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406
-93.23913021,44.9555969520001,4,Nov13,0005Nov13,Benzene,0.87,ug/m3,71-43-2,1.3,ug/m3,HRV,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406
-93.23913021,44.9555969520001,5,Nov13,0005Nov13,Chloromethane,0.63,ug/m3,74-87-3,206544,ug/m3,PEL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406
-93.23913021,44.9555969520001,6,Nov13,0005Nov13,Cyclohexane,1.1,ug/m3,110-82-7,1050000,ug/m3,REL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406
-93.23913021,44.9555969520001,7,Nov13,0005Nov13,Dichlorodifluoromethane,1.9,ug/m3,75-71-8,4950000,ug/m3,REL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406
-93.23913021,44.9555969520001,8,Nov13,0005Nov13,Ethanol,8.8,ug/m3,64-17-5,1900000,ug/m3,REL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406
-93.23913021,44.9555969520001,9,Nov13,0005Nov13,Ethyl acetate,206,ug/m3,141-78-6,1400000,ug/m3,REL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406
-93.23913021,44.9555969520001,10,Nov13,0005Nov13,Methylene Chloride,1.4,ug/m3,75-09-2,20,ug/m3,HRV,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406
-93.23913021,44.9555969520001,11,Nov13,0005Nov13,Toluene,5,ug/m3,108-88-3,400,ug/m3,HRV,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,55406
-93.2119547949999,44.9845238340001,12,Nov13,0076Nov13,2-Butanone (MEK),4.8,ug/m3,78-93-3,10000,ug/m3,HRV,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414
-93.2119547949999,44.9845238340001,13,Nov13,0076Nov13,2-Propanol,4.3,ug/m3,67-63-0,980000,ug/m3,REL,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414
-93.2119547949999,44.9845238340001,14,Nov13,0076Nov13,Acetone,9.8,ug/m3,67-64-1,590000,ug/m3,REL,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414
-93.2119547949999,44.9845238340001,15,Nov13,0076Nov13,Chloromethane,0.97,ug/m3,74-87-3,206544,ug/m3,PEL,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414
-93.2119547949999,44.9845238340001,16,Nov13,0076Nov13,Dichlorodifluoromethane,2.8,ug/m3,75-71-8,4950000,ug/m3,REL,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414
-93.2119547949999,44.9845238340001,17,Nov13,0076Nov13,Ethanol,20.3,ug/m3,64-17-5,1900000,ug/m3,REL,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414
-93.2119547949999,44.9845238340001,18,Nov13,0076Nov13,Ethyl acetate,9.9,ug/m3,141-78-6,1400000,ug/m3,REL,Kohl & Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,55414
