neighborhoodCaseCountID,neighborhood,neighborhoodTotal,neighborhood50LTC,lastUpdated
1,Armatage,1002,0,2022/03/31 00:00:00+00
2,Audubon Park,1094,0,2022/03/31 00:00:00+00
3,Bancroft,633,0,2022/03/31 00:00:00+00
4,Beltrami,346,0,2022/03/31 00:00:00+00
5,Bottineau,491,0,2022/03/31 00:00:00+00
6,Bryant,681,0,2022/03/31 00:00:00+00
7,Bryn - Mawr,425,0,2022/03/31 00:00:00+00
8,Camden Industrial,2,0,2022/03/31 00:00:00+00
9,Cedar - Isles - Dean,769,0,2022/03/31 00:00:00+00
10,Cedar Riverside,1643,0,2022/03/31 00:00:00+00
11,Central,2248,0,2022/03/31 00:00:00+00
12,Cleveland,722,0,2022/03/31 00:00:00+00
13,Columbia Park,281,0,2022/03/31 00:00:00+00
14,Como,1439,0,2022/03/31 00:00:00+00
15,Cooper,589,0,2022/03/31 00:00:00+00
16,Corcoran,1013,0,2022/03/31 00:00:00+00
17,Diamond Lake,1139,0,2022/03/31 00:00:00+00
18,Downtown East,763,0,2022/03/31 00:00:00+00
19,Downtown West,1824,0,2022/03/31 00:00:00+00
20,East Bde Maka Ska,515,0,2022/03/31 00:00:00+00
21,East Harriet,838,0,2022/03/31 00:00:00+00
22,East Isles,614,0,2022/03/31 00:00:00+00
23,East Phillips,1254,0,2022/03/31 00:00:00+00
24,Elliot Park,1825,0,2022/03/31 00:00:00+00
25,Ericsson,668,0,2022/03/31 00:00:00+00
26,Field,458,0,2022/03/31 00:00:00+00
27,Folwell,1441,0,2022/03/31 00:00:00+00
28,Fulton,1145,0,2022/03/31 00:00:00+00
29,Hale,618,0,2022/03/31 00:00:00+00
30,Harrison,829,0,2022/03/31 00:00:00+00
31,Hawthorne,1387,0,2022/03/31 00:00:00+00
32,Hiawatha,1174,0,2022/03/31 00:00:00+00
33,Holland,1139,0,2022/03/31 00:00:00+00
34,Howe,1158,0,2022/03/31 00:00:00+00
35,Humboldt Industrial Area,5,0,2022/03/31 00:00:00+00
36,Jordan,2250,0,2022/03/31 00:00:00+00
37,Keewaydin,554,0,2022/03/31 00:00:00+00
38,Kenny,747,0,2022/03/31 00:00:00+00
39,Kenwood,218,0,2022/03/31 00:00:00+00
40,King Field,1400,0,2022/03/31 00:00:00+00
41,Lind - Bohanon,1277,0,2022/03/31 00:00:00+00
42,Linden Hills,1382,0,2022/03/31 00:00:00+00
43,Logan Park,483,0,2022/03/31 00:00:00+00
44,Longfellow,1089,0,2022/03/31 00:00:00+00
45,Loring Park,1859,0,2022/03/31 00:00:00+00
46,Lowry Hill,693,0,2022/03/31 00:00:00+00
47,Lowry Hill East,1974,0,2022/03/31 00:00:00+00
48,Lyndale,1847,0,2022/03/31 00:00:00+00
49,Lynnhurst,1019,0,2022/03/31 00:00:00+00
50,Marcy Holmes,3015,0,2022/03/31 00:00:00+00
51,Marshall Terrace,394,0,2022/03/31 00:00:00+00
52,McKinley,904,0,2022/03/31 00:00:00+00
53,Mid - City Industrial,64,0,2022/03/31 00:00:00+00
54,Midtown Phillips,1316,0,2022/03/31 00:00:00+00
55,Minnehaha,771,0,2022/03/31 00:00:00+00
56,Morris Park,933,0,2022/03/31 00:00:00+00
57,Near - North,1648,0,2022/03/31 00:00:00+00
58,Nicollet Island - East Bank,477,0,2022/03/31 00:00:00+00
59,North Loop,2131,0,2022/03/31 00:00:00+00
60,Northeast Park,218,0,2022/03/31 00:00:00+00
61,Northrop,786,0,2022/03/31 00:00:00+00
62,Page,314,0,2022/03/31 00:00:00+00
63,Phillips West,1474,0,2022/03/31 00:00:00+00
64,Powderhorn Park,1950,0,2022/03/31 00:00:00+00
65,Prospect Park - East River Road,1575,0,2022/03/31 00:00:00+00
66,Regina,549,0,2022/03/31 00:00:00+00
67,Seward,1373,0,2022/03/31 00:00:00+00
68,Sheridan,786,0,2022/03/31 00:00:00+00
69,Shingle Creek,842,0,2022/03/31 00:00:00+00
70,South Uptown,1208,0,2022/03/31 00:00:00+00
71,St. Anthony East,489,0,2022/03/31 00:00:00+00
72,St. Anthony West,665,0,2022/03/31 00:00:00+00
73,Standish,1383,0,2022/03/31 00:00:00+00
74,Steven's Square - Loring Heights,911,0,2022/03/31 00:00:00+00
75,Sumner - Glenwood,456,0,2022/03/31 00:00:00+00
76,Tangletown,832,0,2022/03/31 00:00:00+00
77,University of Minnesota,585,0,2022/03/31 00:00:00+00
78,Ventura Village,1689,0,2022/03/31 00:00:00+00
79,Victory,1055,0,2022/03/31 00:00:00+00
80,Waite Park,1066,0,2022/03/31 00:00:00+00
81,Webber - Camden,1387,0,2022/03/31 00:00:00+00
82,Wenonah,970,0,2022/03/31 00:00:00+00
83,West Maka Ska,501,0,2022/03/31 00:00:00+00
84,Whittier,3588,0,2022/03/31 00:00:00+00
85,Willard - Hay,2345,0,2022/03/31 00:00:00+00
86,Windom,1251,0,2022/03/31 00:00:00+00
87,Windom Park,1107,0,2022/03/31 00:00:00+00
