X,Y,inci_no,descript,alm_date,alm_time,station,number,street,st_type,st_suffix,addr_2,apt_room,xst_prefix,xstreet,xst_type,xst_suffix,latitude,longitude,inci_type,clr_date,clr_time,alarms,complete,LastUpdateDate,StartDate,EndDate,OBJECTID
-93.2524337443981,44.9555469910021,22-0004558,Dumpster or other outside trash receptacle fire   ,2022/01/31 00:00:00+00,04:49:08,05 ,        ,Bloomington              ,AVE ,  ,                                        ,               ,E ,26                       ,ST  ,  ,44.955539,-93.252426,154 ,2022/01/31 00:00:00+00,04:59:14,1,1,2022/01/31 18:30:37+00,2022/01/31 04:49:08+00,2022/01/31 04:59:14+00,1
-93.2536777452227,44.958950991412,22-0002886,Fires in structure other than in a building       ,2022/01/18 00:00:00+00,23:45:42,05 ,2411    ,15                       ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.958943,-93.25367,112 ,2022/01/19 00:00:00+00,00:21:41,1,1,2022/01/20 18:30:41+00,2022/01/18 23:45:42+00,2022/01/19 00:21:41+00,2
-93.2836827625819,45.0225339985828,22-0008705,Passenger vehicle fire                            ,2022/02/28 00:00:00+00,18:05:28,14 ,200-201 ,Interstate 94 Wb         ,    ,  ,                                        ,               ,  ,                         ,    ,  ,45.022526,-93.283675,131 ,2022/02/28 00:00:00+00,18:34:43,1,1,2022/03/01 18:30:40+00,2022/02/28 18:05:28+00,2022/02/28 18:34:43+00,3
-93.2941167628193,45.0027349949752,22-0002215,Building fire                                     ,2022/01/14 00:00:00+00,06:26:01,14 ,2312    ,Emerson                  ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.002727,-93.294109,111 ,2022/01/14 00:00:00+00,06:52:48,1,1,2022/01/18 18:30:42+00,2022/01/14 06:26:01+00,2022/01/14 06:52:48+00,4
-93.231674737477,44.9483409913936,22-0012083,Building fire                                     ,2022/03/25 00:00:00+00,10:54:21,21 ,2800    ,Lake                     ,ST  ,E ,                                        ,               ,  ,                         ,    ,  ,44.948333,-93.231667,111 ,2022/03/25 00:00:00+00,13:06:30,1,1,2022/03/26 18:30:36+00,2022/03/25 10:54:21+00,2022/03/25 13:06:30+00,5
-93.2705857533233,44.9826569936907,22-0009481,"Cooking fire, confined to container               ",2022/03/05 00:00:00+00,20:57:50,04 ,252     ,1                        ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,44.982649,-93.270578,113 ,2022/03/05 00:00:00+00,21:37:01,1,1,2022/03/11 18:30:45+00,2022/03/05 20:57:50+00,2022/03/05 21:37:01+00,6
-93.3275077647152,44.9475079846081,22-0013187,"Cooking fire, confined to container               ",2022/04/02 00:00:00+00,20:19:25,22 ,3031    ,Ewing                    ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.9475,-93.3275,113 ,2022/04/02 00:00:00+00,20:43:05,1,1,2022/04/05 18:30:37+00,2022/04/02 20:19:25+00,2022/04/02 20:43:05+00,7
-93.2477047515067,45.016778000252,22-0005263,"Cooking fire, confined to container               ",2022/02/04 00:00:00+00,19:41:56,15 ,917     ,27                       ,AVE ,NE,                                        ,4              ,  ,                         ,    ,  ,45.01677,-93.247697,113 ,2022/02/04 00:00:00+00,19:49:41,1,1,2022/02/05 18:30:41+00,2022/02/04 19:41:56+00,2022/02/04 19:49:41+00,8
-93.2676637500284,44.9648389912978,22-0007033,"Trash or rubbish fire, contained                  ",2022/02/17 00:00:00+00,03:20:01,06 ,1824    ,Portland                 ,AVE ,  ,                                        ,               ,  ,                         ,    ,  ,44.964831,-93.267656,118 ,2022/02/17 00:00:00+00,03:37:33,1,1,2022/02/19 18:30:37+00,2022/02/17 03:20:01+00,2022/02/17 03:37:33+00,9
-93.224192728509,44.8986649846589,22-0007141,Passenger vehicle fire                            ,2022/02/17 00:00:00+00,20:39:23,12 ,5754    ,33                       ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.898657,-93.224185,131 ,2022/02/17 00:00:00+00,21:36:00,1,1,2022/02/19 18:30:37+00,2022/02/17 20:39:23+00,2022/02/17 21:36:00+00,10
